id,name,year,duration,genre,actors
174,Rampage,2018,107 min,"Action, Adventure, Sci-Fi","Dwayne Johnson,Naomie Harris,Malin Akerman,Jeffrey Dean Morgan"
175,Eternal Sunshine of the Spotless Mind,2004,108 min,"Drama, Romance, Sci-Fi","Jim Carrey,Kate Winslet,Tom Wilkinson,Gerry Robert Byrne"
176,X-Men: Days of Future Past,2014,132 min,"Action, Adventure, Sci-Fi","Patrick Stewart,Ian McKellen,Hugh Jackman,James McAvoy"
177,Star Wars: Episode IV - A New Hope,1977,121 min,"Action, Adventure, Fantasy","Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness"
178,The Lobster,2015,119 min,"Comedy, Drama, Romance","Colin Farrell,Rachel Weisz,Jessica Barden,Olivia Colman"
179,Blade Runner,1982,117 min,"Sci-Fi, Thriller","Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos"
180,The Fifth Element,1997,126 min,"Action, Adventure, Sci-Fi","Bruce Willis,Milla Jovovich,Gary Oldman,Ian Holm"
181,Star Trek: Enterprise,"2001,2005",60 min,"Action, Adventure, Drama","Scott Bakula,John Billingsley,Jolene Blalock,Dominic Keating"
182,Sorry to Bother You,2018,111 min,"Comedy, Fantasy, Sci-Fi","LaKeith Stanfield,Tessa Thompson,Jermaine Fowler,Omari Hardwick"
183,Lucy,2014,89 min,"Action, Sci-Fi, Thriller","Scarlett Johansson,Morgan Freeman,Min-sik Choi,Amr Waked"
184,Star Trek Beyond,2016,122 min,"Action, Adventure, Sci-Fi","Chris Pine,Zachary Quinto,Karl Urban,Zoe Saldana"
185,The Shannara Chronicles,2016,42 min,"Adventure, Fantasy, Sci-Fi","Austin Butler,Ivana Baquero,Manu Bennett,Aaron Jakubenko"
186,The Running Man,1987,101 min,"Action, Sci-Fi, Thriller","Arnold Schwarzenegger,Maria Conchita Alonso,Yaphet Kotto,Jim Brown"
187,The Protector,2018,40 min,"Action, Fantasy, Sci-Fi","Çagatay Ulusoy,Ayça Aysin Turan,Hazar Ergüçlü,Okan Yalabik"
188,Curfew,2019,60 min,"Action, Crime, Drama","Billy Zane,Jason Thorpe,Guz Khan,Andi Osho"
189,A Cure for Wellness,2016,146 min,"Drama, Fantasy, Horror","Dane DeHaan,Jason Isaacs,Mia Goth,Ivo Nandi"
190,Star Wars: Episode VII - The Force Awakens,2015,136 min,"Action, Adventure, Fantasy","Daisy Ridley,John Boyega,Oscar Isaac,Domhnall Gleeson"
191,Isle of Dogs,2018,101 min,"Animation, Adventure, Comedy","Bryan Cranston,Koyu Rankin,Edward Norton,Bob Balaban"
192,Her,2013,126 min,"Drama, Romance, Sci-Fi","Joaquin Phoenix,Amy Adams,Scarlett Johansson,Rooney Mara"
193,Maze Runner: The Death Cure,2018,143 min,"Action, Sci-Fi, Thriller","Dylan O'Brien,Ki Hong Lee,Kaya Scodelario,Thomas Brodie-Sangster"
194,Level 16,2018,102 min,Sci-Fi,"Katie Douglas,Celina Martin,Sara Canning,Peter Outerbridge"
195,Star Trek,2009,127 min,"Action, Adventure, Sci-Fi","Chris Pine,Zachary Quinto,Simon Pegg,Leonard Nimoy"
196,Farscape,"1999,2003",50 min,"Adventure, Drama, Sci-Fi","Ben Browder,Claudia Black,Anthony Simcoe,Lani John Tupu"
197,The Mandalorian,,60 min,"Fantasy, Sci-Fi","Pedro Pascal,Omid Abtahi,Gina Carano,Giancarlo Esposito"
198,Terminator 2: Judgment Day,1991,137 min,"Action, Sci-Fi","Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick"
199,X-Men,2000,104 min,"Action, Adventure, Sci-Fi","Patrick Stewart,Hugh Jackman,Ian McKellen,Famke Janssen"
200,Donnie Darko,2001,113 min,"Drama, Sci-Fi, Thriller","Jake Gyllenhaal,Jena Malone,Mary McDonnell,Holmes Osborne"
201,Bill & Ted's Bogus Journey,1991,93 min,"Adventure, Comedy, Fantasy","Keanu Reeves,Alex Winter,William Sadler,Joss Ackland"
