id,name,year,duration,genre,actors
98,Blade Runner,1982,117 min,"Sci-Fi, Thriller","Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos"
99,The Fifth Element,1997,126 min,"Action, Adventure, Sci-Fi","Bruce Willis,Milla Jovovich,Gary Oldman,Ian Holm"
100,Sorry to Bother You,2018,111 min,"Comedy, Fantasy, Sci-Fi","LaKeith Stanfield,Tessa Thompson,Jermaine Fowler,Omari Hardwick"
101,Lucy,2014,89 min,"Action, Sci-Fi, Thriller","Scarlett Johansson,Morgan Freeman,Min-sik Choi,Amr Waked"
102,Star Trek Beyond,2016,122 min,"Action, Adventure, Sci-Fi","Chris Pine,Zachary Quinto,Karl Urban,Zoe Saldana"
103,The Running Man,1987,101 min,"Action, Sci-Fi, Thriller","Arnold Schwarzenegger,Maria Conchita Alonso,Yaphet Kotto,Jim Brown"
104,A Cure for Wellness,2016,146 min,"Drama, Fantasy, Horror","Dane DeHaan,Jason Isaacs,Mia Goth,Ivo Nandi"
105,Star Wars: Episode VII - The Force Awakens,2015,136 min,"Action, Adventure, Fantasy","Daisy Ridley,John Boyega,Oscar Isaac,Domhnall Gleeson"
106,Isle of Dogs,2018,101 min,"Animation, Adventure, Comedy","Bryan Cranston,Koyu Rankin,Edward Norton,Bob Balaban"
107,Her,2013,126 min,"Drama, Romance, Sci-Fi","Joaquin Phoenix,Amy Adams,Scarlett Johansson,Rooney Mara"
108,Maze Runner: The Death Cure,2018,143 min,"Action, Sci-Fi, Thriller","Dylan O'Brien,Ki Hong Lee,Kaya Scodelario,Thomas Brodie-Sangster"
109,Star Trek,2009,127 min,"Action, Adventure, Sci-Fi","Chris Pine,Zachary Quinto,Simon Pegg,Leonard Nimoy"
110,Terminator 2: Judgment Day,1991,137 min,"Action, Sci-Fi","Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick"
111,X-Men,2000,104 min,"Action, Adventure, Sci-Fi","Patrick Stewart,Hugh Jackman,Ian McKellen,Famke Janssen"
112,Donnie Darko,2001,113 min,"Drama, Sci-Fi, Thriller","Jake Gyllenhaal,Jena Malone,Mary McDonnell,Holmes Osborne"
113,Bill & Ted's Bogus Journey,1991,93 min,"Adventure, Comedy, Fantasy","Keanu Reeves,Alex Winter,William Sadler,Joss Ackland"
114,Divergent,2014,139 min,"Action, Adventure, Mystery","Shailene Woodley,Theo James,Kate Winslet,Jai Courtney"
115,Man of Steel,2013,143 min,"Action, Adventure, Sci-Fi","Henry Cavill,Amy Adams,Michael Shannon,Diane Lane"
116,X-Men: First Class,2011,131 min,"Action, Adventure, Sci-Fi","James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon"
117,The Day After Tomorrow,2004,124 min,"Action, Adventure, Sci-Fi","Dennis Quaid,Jake Gyllenhaal,Emmy Rossum,Dash Mihok"
118,Edge of Tomorrow,2014,113 min,"Action, Sci-Fi","Tom Cruise,Emily Blunt,Bill Paxton,Brendan Gleeson"
119,Jurassic World,2015,124 min,"Action, Adventure, Sci-Fi","Chris Pratt,Bryce Dallas Howard,Ty Simpkins,Judy Greer"
120,Hellboy II: The Golden Army,2008,120 min,"Action, Adventure, Fantasy","Ron Perlman,Selma Blair,Doug Jones,John Alexander"
121,2001: A Space Odyssey,1968,149 min,"Adventure, Sci-Fi","Keir Dullea,Gary Lockwood,William Sylvester,Daniel Richter"
122,Green Lantern,2011,114 min,"Action, Adventure, Sci-Fi","Ryan Reynolds,Blake Lively,Peter Sarsgaard,Mark Strong"
123,Cube,1997,90 min,"Drama, Mystery, Sci-Fi","Nicole de Boer,Maurice Dean Wint,David Hewlett,Andrew Miller"
124,The Terminator,1984,107 min,"Action, Sci-Fi","Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,Paul Winfield"
125,Aliens,1986,137 min,"Action, Adventure, Sci-Fi","Sigourney Weaver,Michael Biehn,Carrie Henn,Paul Reiser"
126,Unbreakable,2000,106 min,"Drama, Mystery, Sci-Fi","Bruce Willis,Samuel L. Jackson,Robin Wright,Spencer Treat Clark"
127,The Thing,1982,109 min,"Horror, Mystery, Sci-Fi","Kurt Russell,Wilford Brimley,Keith David,Richard Masur"
128,Valerian and the City of a Thousand Planets,2017,137 min,"Action, Adventure, Fantasy","Dane DeHaan,Cara Delevingne,Clive Owen,Rihanna"
129,Hulk,2003,138 min,"Action, Sci-Fi","Eric Bana,Jennifer Connelly,Sam Elliott,Josh Lucas"
130,Dragon Ball Super: Broly,2018,100 min,"Animation, Action, Adventure","Masako Nozawa,Aya Hisakawa,Ryô Horikawa,Toshio Furukawa"
131,Jupiter Ascending,2015,127 min,"Action, Adventure, Sci-Fi","Channing Tatum,Mila Kunis,Eddie Redmayne,Sean Bean"
132,Spider-Man 3,2007,139 min,"Action, Adventure, Sci-Fi","Tobey Maguire,Kirsten Dunst,Topher Grace,Thomas Haden Church"
133,Star Wars: Episode I - The Phantom Menace,1999,136 min,"Action, Adventure, Fantasy","Ewan McGregor,Liam Neeson,Natalie Portman,Jake Lloyd"
134,Mars Attacks!,1996,106 min,"Comedy, Sci-Fi","Jack Nicholson,Pierce Brosnan,Sarah Jessica Parker,Annette Bening"
135,Terminator Genisys,2015,126 min,"Action, Adventure, Sci-Fi","Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Jai Courtney"
136,The Truman Show,1998,103 min,"Comedy, Drama, Sci-Fi","Jim Carrey,Ed Harris,Laura Linney,Noah Emmerich"
137,Children of Men,2006,109 min,"Drama, Sci-Fi, Thriller","Julianne Moore,Clive Owen,Chiwetel Ejiofor,Michael Caine"
138,The Lost World: Jurassic Park,1997,129 min,"Action, Adventure, Sci-Fi","Jeff Goldblum,Julianne Moore,Pete Postlethwaite,Vince Vaughn"
139,Star Trek Into Darkness,2013,132 min,"Action, Adventure, Sci-Fi","Chris Pine,Zachary Quinto,Zoe Saldana,Benedict Cumberbatch"
140,Another Earth,2011,92 min,"Drama, Romance, Sci-Fi","Brit Marling,William Mapother,Matthew-Lee Erlbach,DJ Flava"
141,Prometheus,2012,124 min,"Adventure, Mystery, Sci-Fi","Noomi Rapace,Logan Marshall-Green,Michael Fassbender,Charlize Theron"
142,Looper,2012,113 min,"Action, Crime, Drama","Joseph Gordon-Levitt,Bruce Willis,Emily Blunt,Paul Dano"
143,Despicable Me 3,2017,89 min,"Animation, Action, Adventure","Steve Carell,Kristen Wiig,Trey Parker,Miranda Cosgrove"
144,Space Jam,1996,88 min,"Animation, Adventure, Comedy","Michael Jordan,Wayne Knight,Theresa Randle,Manner Washington"
145,Transformers: Age of Extinction,2014,165 min,"Action, Adventure, Sci-Fi","Mark Wahlberg,Nicola Peltz,Jack Reynor,Stanley Tucci"
146,Men in Black 3,2012,106 min,"Action, Adventure, Comedy","Will Smith,Tommy Lee Jones,Josh Brolin,Jemaine Clement"
