id,name,year,duration,genre,actors
80,Suspiria,2018,2h 32m,"Thriller,Mystery,Horror,Fantasy","Dakota Johnson,Tilda Swinton,Mia Goth,Angela Winkler,Ingrid Caven"
81,The Matrix,1999,2h 16m,"Action,Science Fiction","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Joe Pantoliano"
82,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,"Adventure,Fantasy,Action","Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,Jack Davenport"
83,Live Free or Die Hard,2007,2h 8m,"Action,Thriller","Bruce Willis,Justin Long,Timothy Olyphant,Cliff Curtis,Maggie Q"
84,Doctor Strange,2016,1h 55m,"Action,Adventure,Fantasy,Science Fiction","Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,Benedict Wong,Mads Mikkelsen"
85,Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,"Family,Fantasy,Adventure","Daniel Radcliffe,Rupert Grint,Emma Watson,Alan Rickman,Ralph Fiennes"
86,Robin Hood,2018,1h 56m,"Adventure,Action,Thriller","Taron Egerton,Jamie Foxx,Ben Mendelsohn,Eve Hewson,Jamie Dornan"
87,Deadpool,2016,1h 48m,"Action,Adventure,Comedy","Ryan Reynolds,Morena Baccarin,Ed Skrein,T.J. Miller,Gina Carano"
88,The Best of Enemies,2019,2h 13m,"Drama,History","Taraji P. Henson,Sam Rockwell,Anne Heche,Wes Bentley,Bruce McGill"
89,The Grinch,2018,1h 30m,"Animation,Family,Comedy,Fantasy","Benedict Cumberbatch,Rashida Jones,Kenan Thompson,Cameron Seely,Angela Lansbury"
90,Ant-Man,2015,1h 57m,"Science Fiction,Action,Adventure","Paul Rudd,Michael Douglas,Evangeline Lilly,Corey Stoll,Bobby Cannavale"
91,The Hard Way,2019,1h 34m,Action,"Michael Jai White,Luke Goss,Randy Couture,Madalina Anea,Grant Campbell"
